2024-03-01 03:16:08 status unpacked libsm-dev:amd64 2:1.2.3-1
2024-03-01 03:16:08 status half-configured libsm-dev:amd64 2:1.2.3-1
2024-03-01 03:16:08 status installed libsm-dev:amd64 2:1.2.3-1
2024-03-01 03:16:08 configure openjdk-11-jre-headless:amd64 11.0.22+7-0ubuntu2~20.04.1 <none>
2024-03-01 03:16:08 status unpacked openjdk-11-jre-headless:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:16:08 status half-configured openjdk-11-jre-headless:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:16:09 status installed openjdk-11-jre-headless:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:16:09 configure openjdk-11-jre:amd64 11.0.22+7-0ubuntu2~20.04.1 <none>
2024-03-01 03:16:09 status unpacked openjdk-11-jre:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:16:09 status half-configured openjdk-11-jre:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:16:09 status installed openjdk-11-jre:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:16:09 configure openjdk-11-jdk-headless:amd64 11.0.22+7-0ubuntu2~20.04.1 <none>
2024-03-01 03:16:09 status unpacked openjdk-11-jdk-headless:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:16:09 status half-configured openjdk-11-jdk-headless:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:16:09 status installed openjdk-11-jdk-headless:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:16:09 configure default-jre:amd64 2:1.11-72 <none>
2024-03-01 03:16:09 status unpacked default-jre:amd64 2:1.11-72
2024-03-01 03:16:09 status half-configured default-jre:amd64 2:1.11-72
2024-03-01 03:16:09 status installed default-jre:amd64 2:1.11-72
2024-03-01 03:16:09 configure libxdmcp-dev:amd64 1:1.1.3-0ubuntu1 <none>
2024-03-01 03:16:09 status unpacked libxdmcp-dev:amd64 1:1.1.3-0ubuntu1
2024-03-01 03:16:09 status half-configured libxdmcp-dev:amd64 1:1.1.3-0ubuntu1
2024-03-01 03:16:09 status installed libxdmcp-dev:amd64 1:1.1.3-0ubuntu1
2024-03-01 03:16:09 configure default-jdk-headless:amd64 2:1.11-72 <none>
2024-03-01 03:16:09 status unpacked default-jdk-headless:amd64 2:1.11-72
2024-03-01 03:16:09 status half-configured default-jdk-headless:amd64 2:1.11-72
2024-03-01 03:16:09 status installed default-jdk-headless:amd64 2:1.11-72
2024-03-01 03:16:09 configure x11proto-core-dev:all 2019.2-1ubuntu1 <none>
2024-03-01 03:16:09 status unpacked x11proto-core-dev:all 2019.2-1ubuntu1
2024-03-01 03:16:09 status half-configured x11proto-core-dev:all 2019.2-1ubuntu1
2024-03-01 03:16:09 status installed x11proto-core-dev:all 2019.2-1ubuntu1
2024-03-01 03:16:09 configure openjdk-11-jdk:amd64 11.0.22+7-0ubuntu2~20.04.1 <none>
2024-03-01 03:16:09 status unpacked openjdk-11-jdk:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:16:09 status half-configured openjdk-11-jdk:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:16:09 status installed openjdk-11-jdk:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:16:09 configure libxcb1-dev:amd64 1.14-2 <none>
2024-03-01 03:16:09 status unpacked libxcb1-dev:amd64 1.14-2
2024-03-01 03:16:09 status half-configured libxcb1-dev:amd64 1.14-2
2024-03-01 03:16:09 status installed libxcb1-dev:amd64 1.14-2
2024-03-01 03:16:09 configure libx11-dev:amd64 2:1.6.9-2ubuntu1.6 <none>
2024-03-01 03:16:09 status unpacked libx11-dev:amd64 2:1.6.9-2ubuntu1.6
2024-03-01 03:16:09 status half-configured libx11-dev:amd64 2:1.6.9-2ubuntu1.6
2024-03-01 03:16:09 status installed libx11-dev:amd64 2:1.6.9-2ubuntu1.6
2024-03-01 03:16:09 configure default-jdk:amd64 2:1.11-72 <none>
2024-03-01 03:16:09 status unpacked default-jdk:amd64 2:1.11-72
2024-03-01 03:16:09 status half-configured default-jdk:amd64 2:1.11-72
2024-03-01 03:16:09 status installed default-jdk:amd64 2:1.11-72
2024-03-01 03:16:09 configure libxt-dev:amd64 1:1.1.5-1 <none>
2024-03-01 03:16:09 status unpacked libxt-dev:amd64 1:1.1.5-1
2024-03-01 03:16:09 status half-configured libxt-dev:amd64 1:1.1.5-1
2024-03-01 03:16:09 status installed libxt-dev:amd64 1:1.1.5-1
2024-03-01 03:20:32 startup archives unpack
2024-03-01 03:20:33 install ncurses-term:all <none> 6.2-0ubuntu2.1
2024-03-01 03:20:33 status half-installed ncurses-term:all 6.2-0ubuntu2.1
2024-03-01 03:20:33 status unpacked ncurses-term:all 6.2-0ubuntu2.1
2024-03-01 03:20:33 install openssh-sftp-server:amd64 <none> 1:8.2p1-4ubuntu0.11
2024-03-01 03:20:33 status half-installed openssh-sftp-server:amd64 1:8.2p1-4ubuntu0.11
2024-03-01 03:20:33 status triggers-pending man-db:amd64 2.9.1-1
2024-03-01 03:20:33 status unpacked openssh-sftp-server:amd64 1:8.2p1-4ubuntu0.11
2024-03-01 03:20:33 install openssh-server:amd64 <none> 1:8.2p1-4ubuntu0.11
2024-03-01 03:20:33 status half-installed openssh-server:amd64 1:8.2p1-4ubuntu0.11
2024-03-01 03:20:34 status triggers-pending systemd:amd64 245.4-4ubuntu3.22
2024-03-01 03:20:34 status triggers-pending ufw:all 0.36-6ubuntu1.1
2024-03-01 03:20:34 status unpacked openssh-server:amd64 1:8.2p1-4ubuntu0.11
2024-03-01 03:20:34 install ssh-import-id:all <none> 5.10-0ubuntu1
2024-03-01 03:20:34 status half-installed ssh-import-id:all 5.10-0ubuntu1
2024-03-01 03:20:34 status unpacked ssh-import-id:all 5.10-0ubuntu1
2024-03-01 03:20:34 startup packages configure
2024-03-01 03:20:34 configure openssh-sftp-server:amd64 1:8.2p1-4ubuntu0.11 <none>
2024-03-01 03:20:34 status unpacked openssh-sftp-server:amd64 1:8.2p1-4ubuntu0.11
2024-03-01 03:20:34 status half-configured openssh-sftp-server:amd64 1:8.2p1-4ubuntu0.11
2024-03-01 03:20:34 status installed openssh-sftp-server:amd64 1:8.2p1-4ubuntu0.11
2024-03-01 03:20:34 configure openssh-server:amd64 1:8.2p1-4ubuntu0.11 <none>
2024-03-01 03:20:34 status unpacked openssh-server:amd64 1:8.2p1-4ubuntu0.11
2024-03-01 03:20:34 status half-configured openssh-server:amd64 1:8.2p1-4ubuntu0.11
2024-03-01 03:20:36 status installed openssh-server:amd64 1:8.2p1-4ubuntu0.11
2024-03-01 03:20:36 configure ssh-import-id:all 5.10-0ubuntu1 <none>
2024-03-01 03:20:36 status unpacked ssh-import-id:all 5.10-0ubuntu1
2024-03-01 03:20:36 status half-configured ssh-import-id:all 5.10-0ubuntu1
2024-03-01 03:20:36 status installed ssh-import-id:all 5.10-0ubuntu1
2024-03-01 03:20:37 configure ncurses-term:all 6.2-0ubuntu2.1 <none>
2024-03-01 03:20:37 status unpacked ncurses-term:all 6.2-0ubuntu2.1
2024-03-01 03:20:37 status half-configured ncurses-term:all 6.2-0ubuntu2.1
2024-03-01 03:20:37 status installed ncurses-term:all 6.2-0ubuntu2.1
2024-03-01 03:20:37 trigproc systemd:amd64 245.4-4ubuntu3.22 <none>
2024-03-01 03:20:37 status half-configured systemd:amd64 245.4-4ubuntu3.22
2024-03-01 03:20:37 status installed systemd:amd64 245.4-4ubuntu3.22
